,TotalFlow(m3),TotalRunoff(m3),TotalMass(kg),TotalConc(ug/L),BenthicConc(ug/L)
2000-01-01,1980.7457275390625,1980.7457275390625,0.0,0.0,0.0
2000-01-02,27158.8515625,27158.8515625,0.0,0.0,0.0
2000-01-03,27547.92578125,27547.92578125,0.0,0.0,0.0
2000-01-04,29062.232421875,29062.232421875,0.0,0.0,0.0
2000-01-05,29062.232421875,29062.232421875,0.0,0.0,0.0
2000-01-06,29062.232421875,29062.232421875,0.0,0.0,0.0
2000-01-07,29062.232421875,29062.232421875,0.0,0.0,0.0
2000-01-08,29381.30859375,29381.30859375,211.6714630126953,7204.28955078125,0.0
2000-01-09,31556.30078125,31556.30078125,2518.714111328125,79816.515625,0.0
2000-01-10,40136.765625,40136.765625,14581.9326171875,363306.09375,0.0
2000-01-11,31321.265625,31321.265625,2869.95166015625,91629.4921875,0.0
2000-01-12,29065.521484375,29065.521484375,31.163633346557617,1072.185546875,0.0
2000-01-13,29062.232421875,29062.232421875,2.452648401260376,84.39297485351562,0.0
2000-01-14,29062.232421875,29062.232421875,2.4292988777160645,83.58954620361328,0.0
2000-01-15,29062.232421875,29062.232421875,2.4039244651794434,82.71644592285156,0.0
2000-01-16,29062.232421875,29062.232421875,2.3768606185913086,81.78520202636719,0.0
2000-01-17,29062.232421875,29062.232421875,2.3484015464782715,80.80595397949219,0.0
2000-01-18,29062.232421875,29062.232421875,2.3188045024871826,79.78755950927734,0.0
2000-01-19,29062.232421875,29062.232421875,2.288295269012451,78.73776245117188,0.0
2000-01-20,29062.232421875,29062.232421875,2.257070302963257,77.66334533691406,0.0
2000-01-21,29062.232421875,29062.232421875,2.225301504135132,76.57022094726562,0.0
2000-01-22,29062.232421875,29062.232421875,2.19313907623291,75.46353912353516,0.0
2000-01-23,29062.232421875,29062.232421875,2.160712957382202,74.34779357910156,0.0
2000-01-24,29062.232421875,29062.232421875,2.1281368732452393,73.22689056396484,0.0
2000-01-25,29062.232421875,29062.232421875,2.095508575439453,72.10417938232422,0.0
2000-01-26,29062.232421875,29062.232421875,2.062912940979004,70.98260498046875,0.0
2000-01-27,29062.232421875,29062.232421875,2.030423402786255,69.86466979980469,0.0
2000-01-28,29062.232421875,29062.232421875,1.9981026649475098,68.75254821777344,0.0
2000-01-29,29062.232421875,29062.232421875,1.9660046100616455,67.6480941772461,0.0
2000-01-30,29062.232421875,29062.232421875,1.9341752529144287,66.5528793334961,0.0
2000-01-31,29062.232421875,29062.232421875,1.9026535749435425,65.46825408935547,0.0
2000-02-01,29062.232421875,29062.232421875,1.8714723587036133,64.39533996582031,0.0
2000-02-02,29062.232421875,29062.232421875,1.8406589031219482,63.3350830078125,0.0
2000-02-03,29062.232421875,29062.232421875,1.8102362155914307,62.288272857666016,0.0
2000-02-04,29062.232421875,29062.232421875,1.7802228927612305,61.25554275512695,0.0
2000-02-05,29062.232421875,29062.232421875,1.750633716583252,60.23741149902344,0.0
2000-02-06,29062.232421875,29062.232421875,1.7214807271957397,59.234291076660156,0.0
2000-02-07,29062.36328125,29062.36328125,9.374258995056152,322.5566711425781,0.0
2000-02-08,29062.333984375,29062.333984375,1.6704511642456055,57.47821807861328,0.0
2000-02-09,29062.232421875,29062.232421875,1.645061731338501,56.604793548583984,0.0
2000-02-10,29069.830078125,29069.830078125,65.15709686279297,2241.399169921875,0.0
2000-02-11,29106.4609375,29106.4609375,223.8121337890625,7689.431640625,0.0
2000-02-12,32784.3125,32784.3125,6312.68896484375,192552.109375,0.0
2000-02-13,29426.265625,29426.265625,292.53082275390625,9941.146484375,0.0
2000-02-14,29062.232421875,29062.232421875,1.5687898397445679,53.98036193847656,0.0
2000-02-15,29062.232421875,29062.232421875,1.544516682624817,53.14514923095703,0.0
2000-02-16,29062.232421875,29062.232421875,1.5205469131469727,52.320377349853516,0.0
2000-02-17,29062.232421875,29062.232421875,1.4968938827514648,51.506500244140625,0.0
2000-02-18,634731.0625,634731.0625,760040.5625,1197421.375,0.0
2000-02-19,1230312.625,1230312.625,2017719.0,1640005.125,0.0
2000-02-20,2062909.125,2062909.125,2760733.5,1338272.0,0.0
2000-02-21,901813.0625,901813.0625,968891.375,1074381.625,0.0
2000-02-22,63282.26171875,63282.26171875,29699.07421875,469311.21875,0.0
2000-02-23,29062.232421875,29062.232421875,5672.1611328125,195172.9375,0.0
2000-02-24,37868.83203125,37868.83203125,11314.4404296875,298779.78125,0.0
2000-02-25,62725.0390625,62725.0390625,46792.23828125,745989.75,0.0
2000-02-26,565585.625,565585.625,701204.5625,1239784.875,0.0
2000-02-27,512830.28125,512830.28125,815934.625,1591042.125,0.0
2000-02-28,65613.546875,65613.546875,57368.40625,874337.75,0.0
2000-02-29,30160.0234375,30160.0234375,10571.7138671875,350520.75,0.0
2000-03-01,624155.0625,96817.2734375,68840.1484375,110293.34375,0.0
2000-03-02,647141.125,119803.375,130299.3515625,201346.109375,0.0
2000-03-03,645528.125,118190.359375,135478.15625,209871.8125,0.0
2000-03-04,684562.0,157224.25,187438.015625,273807.21875,0.0
2000-03-05,572736.4375,45398.65234375,19540.505859375,34117.80078125,0.0
2000-03-06,556400.0,29062.232421875,7523.98388671875,13522.6162109375,0.0
2000-03-07,556400.0,29062.232421875,7421.17578125,13337.8427734375,0.0
2000-03-08,556400.0,29062.232421875,7318.6279296875,13153.537109375,0.0
