,TotalFlow(m3),TotalRunoff(m3),TotalMass(kg),TotalConc(ug/L),BenthicConc(ug/L)
2000-01-01,2605841.0,2605841.0,0.0,0.0,0.0
2000-01-02,2605841.0,2605841.0,0.0,0.0,0.0
2000-01-03,2605841.0,2605841.0,0.0,0.0,0.0
2000-01-04,2605841.0,2605841.0,0.0,0.0,0.0
2000-01-05,2605841.0,2605841.0,0.0,0.0,0.0
2000-01-06,2605841.0,2605841.0,0.0,0.0,0.0
2000-01-07,2605841.0,2605841.0,0.0,0.0,0.0
2000-01-08,2605841.0,2605841.0,298.8938903808594,114.70150756835938,0.0
2000-01-09,2605841.0,2605841.0,296.5785217285156,113.81298065185547,0.0
2000-01-10,2605841.0,2605841.0,494.7701721191406,189.8696746826172,0.0
2000-01-11,2605841.0,2605841.0,490.91650390625,188.39080810546875,0.0
2000-01-12,2605841.0,2605841.0,487.0928649902344,186.92347717285156,0.0
2000-01-13,2605841.0,2605841.0,483.29901123046875,185.4675750732422,0.0
2000-01-14,2605841.0,2605841.0,479.5346374511719,184.02297973632812,0.0
2000-01-15,2605841.0,2605841.0,475.7994689941406,182.589599609375,0.0
2000-01-16,2605841.0,2605841.0,472.0932922363281,181.16734313964844,0.0
2000-01-17,2605841.0,2605841.0,468.4158020019531,179.75608825683594,0.0
2000-01-18,2605841.0,2605841.0,464.7667541503906,178.3557586669922,0.0
2000-01-19,2605841.0,2605841.0,461.1459655761719,176.96627807617188,0.0
2000-01-20,2605841.0,2605841.0,457.5531311035156,175.58750915527344,0.0
2000-01-21,2605841.0,2605841.0,453.9880676269531,174.2194061279297,0.0
2000-01-22,2605841.0,2605841.0,450.4505310058594,172.8618621826172,0.0
2000-01-23,2605841.0,2605841.0,446.9403381347656,171.5148162841797,0.0
2000-01-24,2605841.0,2605841.0,443.45721435546875,170.17816162109375,0.0
2000-01-25,2605841.0,2605841.0,440.0009765625,168.851806640625,0.0
2000-01-26,2605841.0,2605841.0,436.5714111328125,167.53570556640625,0.0
2000-01-27,2605841.0,2605841.0,433.1683349609375,166.22976684570312,0.0
2000-01-28,2605841.0,2605841.0,429.79150390625,164.93389892578125,0.0
2000-01-29,2605841.0,2605841.0,426.44073486328125,163.6480255126953,0.0
2000-01-30,2605841.0,2605841.0,423.1158447265625,162.37208557128906,0.0
2000-01-31,2605841.0,2605841.0,419.81658935546875,161.10598754882812,0.0
2000-02-01,3640395.5,2605841.0,416.5428466796875,114.42241668701172,0.0
2000-02-02,3640395.5,2605841.0,413.2943420410156,113.53006744384766,0.0
2000-02-03,3640395.5,2605841.0,410.0709533691406,112.64461517333984,0.0
2000-02-04,3640395.5,2605841.0,406.8724365234375,111.76599884033203,0.0
2000-02-05,3640395.5,2605841.0,403.6986389160156,110.89417266845703,0.0
2000-02-06,3640395.5,2605841.0,400.54937744140625,110.02908325195312,0.0
2000-02-07,3640395.5,2605841.0,641.4886474609375,176.21400451660156,0.0
2000-02-08,3640395.5,2605841.0,636.7122802734375,174.90194702148438,0.0
2000-02-09,3640395.5,2605841.0,692.6458740234375,190.2666473388672,0.0
2000-02-10,3640395.5,2605841.0,687.302001953125,188.79872131347656,0.0
2000-02-11,3640395.5,2605841.0,681.9945068359375,187.3407745361328,0.0
2000-02-12,3640395.5,2605841.0,676.7272338867188,185.8938751220703,0.0
2000-02-13,3640395.5,2605841.0,671.5004272460938,184.45809936523438,0.0
2000-02-14,3640395.5,2605841.0,666.3138427734375,183.0333709716797,0.0
2000-02-15,3640395.5,2605841.0,661.1671752929688,181.61959838867188,0.0
2000-02-16,3640395.5,2605841.0,656.0599365234375,180.21665954589844,0.0
2000-02-17,3640395.5,2605841.0,650.9917602539062,178.824462890625,0.0
2000-02-18,3640451.25,2605896.75,518531.78125,142436.125,0.0
2000-02-19,3640395.5,2605841.0,515587.625,141629.5625,0.0
2000-02-20,3640395.5,2605841.0,512024.84375,140650.890625,0.0
2000-02-21,3640395.5,2605841.0,508302.03125,139628.25,0.0
2000-02-22,3640395.5,2605841.0,504568.5625,138602.671875,0.0
2000-02-23,3640395.5,2605841.0,500853.15625,137582.078125,0.0
2000-02-24,3640395.5,2605841.0,500832.25,137576.328125,0.0
2000-02-25,3640395.5,2605841.0,497136.34375,136561.078125,0.0
2000-02-26,3640407.0,2605852.5,836439.125,229765.28125,0.0
2000-02-27,3640395.5,2605841.0,830921.75,228250.40625,0.0
2000-02-28,3640395.5,2605841.0,824896.4375,226595.28125,0.0
2000-02-29,3640395.5,2605841.0,818810.125,224923.390625,0.0
2000-03-01,4322876.5,2605841.0,819731.875,189626.484375,0.0
2000-03-02,4322876.5,2605841.0,813641.6875,188217.671875,0.0
2000-03-03,4322876.5,2605841.0,807590.375,186817.828125,0.0
2000-03-04,4322876.5,2605841.0,801593.5625,185430.609375,0.0
2000-03-05,4322876.5,2605841.0,795620.6875,184048.90625,0.0
2000-03-06,4322876.5,2605841.0,789686.9375,182676.265625,0.0
2000-03-07,4322876.5,2605841.0,783792.25,181312.671875,0.0
2000-03-08,4322876.5,2605841.0,777936.4375,179958.0625,0.0
2000-03-09,4322876.5,2605841.0,772119.375,178612.40625,0.0
2000-03-10,4322876.5,2605841.0,766340.9375,177275.703125,0.0
2000-03-11,4322876.5,2605841.0,760601.0625,175947.90625,0.0
2000-03-12,4322876.5,2605841.0,754899.5625,174629.0,0.0
2000-03-13,4322876.5,2605841.0,749474.3125,173373.984375,0.0
2000-03-14,4322876.5,2605841.0,743852.5,172073.515625,0.0
2000-03-15,4322876.5,2605841.0,738713.9375,170884.8125,0.0
2000-03-16,4322876.5,2605841.25,792003.625,183212.171875,0.0
2000-03-17,4322876.5,2605841.0,786120.5625,181851.265625,0.0
2000-03-18,4322876.5,2605841.0,780218.6875,180486.0,0.0
2000-03-19,4322876.5,2605841.0,777955.375,179962.4375,0.0
2000-03-20,4322876.5,2605841.0,772182.4375,178627.0,0.0
2000-03-21,4322876.5,2605841.0,766364.25,177281.09375,0.0
2000-03-22,4322876.5,2605841.0,760583.75,175943.90625,0.0
2000-03-23,4322876.5,2605841.0,754842.9375,174615.90625,0.0
2000-03-24,4322876.5,2605841.0,749142.125,173297.140625,0.0
2000-03-25,4322876.5,2605841.0,743481.1875,171987.609375,0.0
2000-03-26,4322876.5,2605841.0,737860.0,170687.28125,0.0
2000-03-27,4322904.0,2605868.5,772639.375,178731.5625,0.0
2000-03-28,4322876.5,2605841.0,766700.75,177358.9375,0.0
2000-03-29,4322876.5,2605841.0,760897.5,176016.484375,0.0
2000-03-30,4322876.5,2605841.0,755132.875,174682.96875,0.0
2000-03-31,4322876.5,2605841.0,749409.0,173358.875,0.0
2000-04-01,9525898.0,2605841.0,743726.125,78074.1171875,0.0
2000-04-02,9525898.0,2605841.0,738084.125,77481.84375,0.0
2000-04-03,9525898.0,2605841.0,732482.6875,76893.8203125,0.0
2000-04-04,9525898.0,2605841.0,726921.625,76310.0390625,0.0
2000-04-05,9525898.0,2605841.0,721400.625,75730.4609375,0.0
2000-04-06,9525898.0,2605841.0,715919.4375,75155.0625,0.0
2000-04-07,9525898.0,2605841.0,710477.9375,74583.828125,0.0
2000-04-08,9525898.0,2605841.0,705075.75,74016.71875,0.0
2000-04-09,9525898.0,2605841.0,699712.6875,73453.7265625,0.0
2000-04-10,9525898.0,2605841.0,694388.5625,72894.8125,0.0
2000-04-11,9525898.0,2605841.0,689107.8125,72340.453125,0.0
2000-04-12,9525898.0,2605841.0,683860.6875,71789.625,0.0
2000-04-13,9525898.0,2605841.0,678651.8125,71242.8125,0.0
2000-04-14,9525898.0,2605841.0,673480.8125,70699.9765625,0.0
2000-04-15,9525898.0,2605841.0,668347.625,70161.1171875,0.0
2000-04-16,9525898.0,2605841.0,663251.9375,69626.1875,0.0
2000-04-17,9525898.0,2605841.0,659244.5625,69205.5,0.0
2000-04-18,9525898.0,2605841.0,654215.5,68677.5625,0.0
2000-04-19,9525898.0,2605841.0,649223.3125,68153.5,0.0
2000-04-20,9525898.0,2605841.0,644878.4375,67697.390625,0.0
2000-04-21,9525898.0,2605841.0,639957.5,67180.8046875,0.0
2000-04-22,9525898.0,2605841.0,635070.0625,66667.734375,0.0
2000-04-23,9525898.0,2605841.0,630218.6875,66158.453125,0.0
2000-04-24,9525898.0,2605841.0,625610.625,65674.7109375,0.0
2000-04-25,9525898.0,2605841.0,620828.9375,65172.74609375,0.0
2000-04-26,9525898.0,2605841.0,616082.5625,64674.484375,0.0
2000-04-27,9525898.0,2605841.0,611820.75,64227.09375,0.0
2000-04-28,9525898.0,2605841.0,607280.3125,63750.453125,0.0
2000-04-29,9525898.0,2605841.0,602635.5625,63262.859375,0.0
2000-04-30,9525898.0,2605841.0,598024.0625,62778.7578125,0.0
2000-05-01,8549483.0,2605841.0,593446.625,69413.1640625,0.0
2000-05-02,8549483.0,2605841.0,588903.0625,68881.71875,0.0
2000-05-03,8549483.0,2605841.0,584393.25,68354.2265625,0.0
2000-05-04,8549483.0,2605841.0,579916.9375,67830.6484375,0.0
2000-05-05,8549483.0,2605841.0,575473.9375,67310.96875,0.0
2000-05-06,8549483.0,2605841.0,571064.0,66795.1484375,0.0
2000-05-07,8549483.0,2605841.0,567402.3125,66366.859375,0.0
2000-05-08,8549483.0,2605841.0,563063.8125,65859.3984375,0.0
2000-05-09,8549483.0,2605841.0,624913.5625,73093.7265625,0.0
2000-05-10,8549483.0,2605841.0,623343.25,72910.0546875,0.0
2000-05-11,8549483.0,2605841.0,618662.0625,72362.515625,0.0
2000-05-12,8549483.0,2605841.0,613962.625,71812.8359375,0.0
