,TotalFlow(m3),TotalRunoff(m3),TotalMass(kg),TotalConc(ug/L),BenthicConc(ug/L)
2000-01-01,0.0,0.0,0.0,0.0,0.0
2000-01-02,1562.061279296875,1562.061279296875,0.0,0.0,0.0
2000-01-03,1998.812255859375,1998.812255859375,0.0,0.0,0.0
2000-01-04,3643.20263671875,3643.20263671875,0.0,0.0,0.0
2000-01-05,3643.20263671875,3643.20263671875,0.0,0.0,0.0
2000-01-06,3643.20263671875,3643.20263671875,0.0,0.0,0.0
2000-01-07,3643.20263671875,3643.20263671875,0.0,0.0,0.0
2000-01-08,3742.49609375,3742.49609375,117.49834442138672,31395.716796875,0.0
2000-01-09,4273.39697265625,4273.39697265625,887.88623046875,207770.578125,0.0
2000-01-10,8966.1142578125,8966.1142578125,4605.06787109375,513607.96875,0.0
2000-01-11,10891.353515625,10891.353515625,6479.42724609375,594914.8125,0.0
2000-01-12,6058.9189453125,6058.9189453125,4045.29541015625,667659.5625,0.0
2000-01-13,3667.2158203125,3667.2158203125,71.8885726928711,19603.0390625,0.0
2000-01-14,3643.22802734375,3643.22802734375,2.818749189376831,773.6954956054688,0.0
2000-01-15,3643.20263671875,3643.20263671875,2.4481279850006104,671.971435546875,0.0
2000-01-16,3643.20263671875,3643.20263671875,2.418292284011841,663.781982421875,0.0
2000-01-17,3643.20263671875,3643.20263671875,2.3889694213867188,655.7333374023438,0.0
2000-01-18,3643.20263671875,3643.20263671875,2.360149383544922,647.8226928710938,0.0
2000-01-19,3643.20263671875,3643.20263671875,2.331822156906128,640.0473022460938,0.0
2000-01-20,3643.20263671875,3643.20263671875,2.3039779663085938,632.4046020507812,0.0
2000-01-21,3643.20263671875,3643.20263671875,2.2766075134277344,624.891845703125,0.0
2000-01-22,3643.20263671875,3643.20263671875,2.249701738357544,617.5066528320312,0.0
2000-01-23,3643.20263671875,3643.20263671875,2.2232508659362793,610.246337890625,0.0
2000-01-24,3643.20263671875,3643.20263671875,2.197246551513672,603.1085205078125,0.0
2000-01-25,3643.20263671875,3643.20263671875,2.171679973602295,596.0908813476562,0.0
2000-01-26,3643.20263671875,3643.20263671875,2.1465423107147217,589.1910400390625,0.0
2000-01-27,3643.20263671875,3643.20263671875,2.1218252182006836,582.4066162109375,0.0
2000-01-28,3643.20263671875,3643.20263671875,2.0975210666656494,575.7355346679688,0.0
2000-01-29,3643.20263671875,3643.20263671875,2.0736212730407715,569.1754150390625,0.0
2000-01-30,3643.20263671875,3643.20263671875,2.0501179695129395,562.72412109375,0.0
2000-01-31,3643.20263671875,3643.20263671875,2.027003526687622,556.3795776367188,0.0
2000-02-01,143126.15625,3643.20263671875,2.0042707920074463,14.003525733947754,0.0
2000-02-02,143126.15625,3643.20263671875,1.9819116592407227,13.847306251525879,0.0
2000-02-03,143126.15625,3643.20263671875,1.9599193334579468,13.693649291992188,0.0
2000-02-04,143126.15625,3643.20263671875,1.9382867813110352,13.542506217956543,0.0
2000-02-05,143126.15625,3643.20263671875,1.9170066118240356,13.393824577331543,0.0
2000-02-06,143126.15625,3643.20263671875,1.8960726261138916,13.247562408447266,0.0
2000-02-07,143126.15625,3643.20263671875,1.8754775524139404,13.103668212890625,0.0
2000-02-08,143126.15625,3643.20263671875,1.855215311050415,12.962099075317383,0.0
