,TotalFlow(m3),TotalRunoff(m3),TotalMass(kg),TotalConc(ug/L),BenthicConc(ug/L)
2000-01-01,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-02,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-03,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-04,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-05,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-06,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-07,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-08,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-09,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-10,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-11,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-12,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-13,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-14,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-15,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-16,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-17,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-18,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-19,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-20,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-21,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-22,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-23,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-24,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-25,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-26,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-27,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-28,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-29,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-30,25953.21875,25953.21875,0.0,0.0,0.0
2000-01-31,25953.21875,25953.21875,0.0,0.0,0.0
2000-02-01,28711.400390625,25953.21875,0.0,0.0,0.0
2000-02-02,28711.400390625,25953.21875,0.0,0.0,0.0
2000-02-03,28711.400390625,25953.21875,0.0,0.0,0.0
2000-02-04,28711.400390625,25953.21875,0.0,0.0,0.0
2000-02-05,28711.400390625,25953.21875,0.0,0.0,0.0
2000-02-06,28711.400390625,25953.21875,0.0,0.0,0.0
2000-02-07,28712.666015625,25954.484375,60.09931564331055,2093.129150390625,0.0
2000-02-08,28711.400390625,25953.21875,9.40810489654541,327.6783752441406,0.0
2000-02-09,28711.400390625,25953.21875,5.286722660064697,184.1332244873047,0.0
2000-02-10,28711.400390625,25953.21875,2.97078275680542,103.47049713134766,0.0
2000-02-11,28711.400390625,25953.21875,1.6693801879882812,58.143463134765625,0.0
2000-02-12,28711.400390625,25953.21875,0.9380794763565063,32.6727180480957,0.0
2000-02-13,28711.400390625,25953.21875,0.5271375775337219,18.35987091064453,0.0
2000-02-14,28711.400390625,25953.21875,0.29621589183807373,10.31701374053955,0.0
2000-02-15,28711.400390625,25953.21875,0.16645342111587524,5.797468185424805,0.0
2000-02-16,28711.400390625,25953.21875,0.09353563189506531,3.2577872276306152,0.0
2000-02-17,28711.400390625,25953.21875,0.05256073549389839,1.8306573629379272,0.0
2000-02-18,493634.625,490876.4375,568885.125,1152441.75,0.0
2000-02-19,28711.400390625,25953.21875,107111.6015625,3730629.75,0.0
2000-02-20,28711.400390625,25953.21875,65016.6484375,2264489.0,0.0
2000-02-21,28711.400390625,25953.21875,40541.453125,1412033.375,0.0
2000-02-22,28711.400390625,25953.21875,26106.8984375,909286.875,0.0
2000-02-23,28711.400390625,25953.21875,17430.30859375,607086.6875,0.0
2000-02-24,28711.400390625,25953.21875,12085.421875,420927.65625,0.0
2000-02-25,28711.400390625,25953.21875,8692.501953125,302754.375,0.0
2000-02-26,137637.21875,134879.03125,131437.6875,954957.5,0.0
2000-02-27,28711.400390625,25953.21875,34395.9140625,1197988.0,0.0
2000-02-28,28711.400390625,25953.21875,21334.25,743058.5,0.0
2000-02-29,28711.400390625,25953.21875,13653.4228515625,475540.125,0.0
2000-03-01,77324.9453125,25953.21875,9054.24609375,117093.46875,0.0
2000-03-02,77324.9453125,25953.21875,6234.873046875,80632.1015625,0.0
2000-03-03,77324.9453125,25953.21875,4455.57421875,57621.43359375,0.0
2000-03-04,77324.96875,25953.2421875,3294.644775390625,42607.7734375,0.0
2000-03-05,77324.9453125,25953.21875,2506.87109375,32419.953125,0.0
2000-03-06,77324.9453125,25953.21875,1953.0107421875,25257.189453125,0.0
2000-03-07,77324.9453125,25953.21875,1549.2388916015625,20035.435546875,0.0
2000-03-08,77324.9453125,25953.21875,1245.539306640625,16107.859375,0.0
2000-03-09,77324.9453125,25953.21875,1011.1314697265625,13076.39453125,0.0
2000-03-10,77324.9453125,25953.21875,826.4990844726562,10688.6474609375,0.0
2000-03-11,77324.9453125,25953.21875,678.83251953125,8778.958984375,0.0
2000-03-12,77324.9453125,25953.21875,559.4043579101562,7234.4619140625,0.0
2000-03-13,81973.0234375,30601.298828125,3142.74267578125,38338.7421875,0.0
2000-03-14,77324.9453125,25953.21875,874.6978149414062,11311.974609375,0.0
2000-03-15,77324.96875,25953.2421875,613.0840454101562,7928.66845703125,0.0
2000-03-16,94237.1953125,42865.46875,12594.0595703125,133642.125,0.0
2000-03-17,77324.9453125,25953.21875,3230.3984375,41776.92578125,0.0
2000-03-18,77325.234375,25953.5078125,1979.3819580078125,25598.13671875,0.0
2000-03-19,96333.1640625,44961.4375,12837.3701171875,133260.140625,0.0
2000-03-20,77324.9453125,25953.21875,2917.039794921875,37724.43359375,0.0
2000-03-21,77324.9453125,25953.21875,1815.381591796875,23477.30859375,0.0
2000-03-22,77324.9453125,25953.21875,1166.367919921875,15083.98046875,0.0
2000-03-23,77324.9453125,25953.21875,776.802490234375,10045.94921875,0.0
2000-03-24,77324.9453125,25953.21875,537.2567138671875,6948.03857421875,0.0
2000-03-25,77324.9453125,25953.21875,385.52020263671875,4985.7158203125,0.0
2000-03-26,77324.9453125,25953.21875,286.03857421875,3699.176025390625,0.0
2000-03-27,114044.671875,62672.94921875,25955.26171875,227588.546875,0.0
2000-03-28,77324.9453125,25953.21875,4547.50830078125,58810.3671875,0.0
2000-03-29,77324.9453125,25953.21875,2807.3359375,36305.6953125,0.0
2000-03-30,77324.9453125,25953.21875,1786.643310546875,23105.65234375,0.0
2000-03-31,77324.9453125,25953.21875,1177.531982421875,15228.3583984375,0.0
2000-04-01,138484.546875,25953.21875,805.7454833984375,5818.30615234375,0.0
2000-04-02,138484.546875,25953.21875,572.3363037109375,4132.85302734375,0.0
2000-04-03,138484.546875,25953.21875,420.84930419921875,3038.962158203125,0.0
2000-04-04,138484.546875,25953.21875,318.85284423828125,2302.443359375,0.0
2000-04-05,138484.546875,25953.21875,247.53500366210938,1787.4556884765625,0.0
2000-04-06,138484.546875,25953.21875,195.83706665039062,1414.143798828125,0.0
2000-04-07,138484.546875,25953.21875,157.14007568359375,1134.7119140625,0.0
2000-04-08,138484.546875,25953.21875,127.38870239257812,919.8766479492188,0.0
2000-04-09,138484.546875,25953.21875,104.02531433105469,751.1690673828125,0.0
2000-04-10,138484.546875,25953.21875,85.38128662109375,616.5401611328125,0.0
2000-04-11,138484.546875,25953.21875,70.3268814086914,507.83197021484375,0.0
2000-04-12,138484.546875,25953.21875,58.067874908447266,419.3094177246094,0.0
2000-04-13,138484.546875,25953.21875,48.02562713623047,346.79412841796875,0.0
2000-04-14,138484.546875,25953.21875,39.76519012451172,287.14532470703125,0.0
2000-04-15,138484.546875,25953.21875,32.950984954833984,237.93978881835938,0.0
2000-04-16,138484.546875,25953.21875,27.318790435791016,197.26959228515625,0.0
2000-04-17,138484.546875,25953.21875,22.657352447509766,163.60923767089844,0.0
2000-04-18,138484.546875,25953.21875,18.79583740234375,135.72515869140625,0.0
2000-04-19,138484.546875,25953.21875,15.59499454498291,112.61180114746094,0.0
2000-04-20,138638.25,26106.919921875,190.04931640625,1370.828857421875,0.018190424889326096
2000-04-21,138484.546875,25953.21875,38.34421157836914,276.8843994140625,0.018190424889326096
2000-04-22,138484.546875,25953.21875,24.699859619140625,178.3582305908203,0.018190424889326096
2000-04-23,138484.546875,25953.21875,16.49660873413086,119.12237548828125,0.018190424889326096
2000-04-24,138484.546875,25953.21875,11.442026138305664,82.62312316894531,0.018190424889326096
2000-04-25,138484.546875,25953.21875,8.232420921325684,59.446495056152344,0.018190424889326096
2000-04-26,138484.546875,25953.21875,6.122348308563232,44.20961380004883,0.018190424889326096
2000-04-27,138484.546875,25953.21875,4.682246208190918,33.810604095458984,0.018190424889326096
2000-04-28,138484.625,25953.287109375,35.437110900878906,255.89202880859375,0.018190424889326096
2000-04-29,138484.546875,25953.21875,19.655866622924805,141.93544006347656,0.018190424889326096
2000-04-30,138484.546875,25953.21875,11.755350112915039,84.8856430053711,0.018190424889326096
2000-05-01,121740.15625,25953.21875,7.195071220397949,59.101871490478516,0.018190424889326096
2000-05-02,121740.15625,25953.21875,4.532304763793945,37.229331970214844,0.018190424889326096
2000-05-03,121740.15625,25953.21875,2.9528467655181885,24.255321502685547,0.018190424889326096
2000-05-04,121740.15625,25953.21875,1.9962739944458008,16.3978271484375,0.018190424889326096
2000-05-05,121740.15625,25953.21875,1.4014556407928467,11.511859893798828,0.018190424889326096
2000-05-06,121740.15625,25953.21875,1.0196585655212402,8.375696182250977,0.018190424889326096
2000-05-07,129591.078125,33804.13671875,3748.289306640625,28923.9765625,0.0041016582399606705
2000-05-08,121740.15625,25953.21875,676.0238037109375,5553.005859375,0.0041016582399606705
2000-05-09,164391.0625,68604.1171875,31741.2109375,193083.5625,0.005435554776340723
2000-05-10,121782.9140625,25995.974609375,8356.41796875,68617.328125,0.0026275250129401684
2000-05-11,121740.15625,25953.21875,4860.34814453125,39923.953125,0.0026275250129401684
2000-05-12,121740.15625,25953.21875,2912.03515625,23920.087890625,0.0026275250129401684
2000-05-13,121740.15625,25953.21875,1786.4686279296875,14674.439453125,0.0026275250129401684
2000-05-14,121740.15625,25953.21875,1128.457275390625,9269.392578125,0.0026275250129401684
2000-05-15,121740.15625,25953.21875,737.5188598632812,6058.1396484375,0.0026275250129401684
2000-05-16,121740.15625,25953.21875,500.2583923339844,4109.23046875,0.0026275250129401684
2000-05-17,121740.15625,25953.21875,352.34326171875,2894.223876953125,0.0026275250129401684
2000-05-18,121740.15625,25953.21875,257.11480712890625,2111.99658203125,0.0026275250129401684
2000-05-19,121740.15625,25953.21875,193.551513671875,1589.8740234375,0.0026275250129401684
2000-05-20,121740.15625,25953.21875,149.49075317382812,1227.9493408203125,0.0026275250129401684
2000-05-21,121740.15625,25953.21875,117.80743408203125,967.6957397460938,0.0026275250129401684
2000-05-22,121744.21875,25957.283203125,231.09078979492188,1898.1663818359375,0.0024558354634791613
2000-05-23,122182.25,26395.314453125,457.8550109863281,3747.31201171875,0.002841480076313019
2000-05-24,121740.15625,25953.21875,128.30752563476562,1053.94580078125,0.002841480076313019
2000-05-25,121740.15625,25953.21875,88.93414306640625,730.5242919921875,0.002841480076313019
2000-05-26,126847.484375,31060.546875,2479.865966796875,19549.98046875,0.0036056172102689743
2000-05-27,550148.125,454361.1875,519036.8125,943449.1875,0.008706098422408104
2000-05-28,121740.15625,25953.21875,111375.671875,914863.875,0.008706098422408104
2000-05-29,121740.15625,25953.21875,66529.0546875,546484.0625,0.008706098422408104
2000-05-30,121740.15625,25953.21875,40657.85546875,333972.4375,0.008706098422408104
2000-05-31,121740.15625,25953.21875,25563.53125,209984.375,0.008706098422408104
2000-06-01,103723.5390625,25953.21875,16619.6953125,160230.6875,0.008706098422408104
2000-06-02,103723.5390625,25953.21875,11210.5380859375,108080.9375,0.008706098422408104
2000-06-03,103723.5390625,25953.21875,7852.7998046875,75708.9453125,0.008706098422408104
2000-06-04,103723.890625,25953.5703125,5719.275390625,55139.421875,0.008706098422408104
2000-06-05,103846.7734375,26076.44921875,4659.77099609375,44871.6015625,0.0029788296669721603
2000-06-06,103723.5390625,25953.21875,3349.083984375,32288.5625,0.0029788296669721603
2000-06-07,103723.5390625,25953.21875,2619.4208984375,25253.87109375,0.0029788296669721603
2000-06-08,103723.5390625,25953.21875,2084.0234375,20092.095703125,0.0029788296669721603
2000-06-09,103723.5390625,25953.21875,1679.1051025390625,16188.2734375,0.0029788296669721603
2000-06-10,103723.5390625,25953.21875,1365.1988525390625,13161.8994140625,0.0029788296669721603
2000-06-11,150679.40625,72909.078125,31310.587890625,207796.078125,0.006030858028680086
2000-06-12,263511.59375,185741.265625,171213.171875,649736.75,0.008519102819263935
2000-06-13,103723.5390625,25953.21875,39727.546875,383013.78125,0.008519102819263935
2000-06-14,103725.7578125,25955.431640625,24070.328125,232057.390625,0.008519102819263935
2000-06-15,103723.5390625,25953.21875,14800.4287109375,142691.125,0.008519102819263935
2000-06-16,103723.5390625,25953.21875,9407.51171875,90697.9375,0.008519102819263935
2000-06-17,123910.5625,46140.23828125,19306.900390625,155813.1875,0.005363175645470619
2000-06-18,103723.5390625,25953.21875,6821.970703125,65770.703125,0.005363175645470619
2000-06-19,103723.5390625,25953.21875,4535.5283203125,43727.0859375,0.005363175645470619
2000-06-20,103726.5625,25956.240234375,3257.439208984375,31404.09765625,0.005363175645470619
2000-06-21,201822.296875,124051.96875,113764.9375,563688.6875,0.008524728938937187
2000-06-22,103723.5390625,25953.21875,28602.79296875,275759.90625,0.008524728938937187
2000-06-23,103723.5390625,25953.21875,17197.51953125,165801.5,0.008524728938937187
2000-06-24,119835.234375,42064.91015625,23600.404296875,196940.4375,0.005946795456111431
2000-06-25,106678.90625,28908.583984375,12201.75390625,114378.3203125,0.004802392330020666
2000-06-26,174805.875,97035.5546875,77692.15625,444448.1875,0.008474400267004967
2000-06-27,103723.5390625,25953.21875,19463.724609375,187650.015625,0.008474400267004967
2000-06-28,103723.5390625,25953.21875,12012.1689453125,115809.4765625,0.008474400267004967
2000-06-29,103723.5390625,25953.21875,7642.1572265625,73678.1328125,0.008474400267004967
2000-06-30,103724.03125,25953.7109375,5060.15380859375,48784.77734375,0.008474400267004967
2000-07-01,75658.3984375,40042.6484375,15876.9775390625,209850.828125,0.0067282142117619514
2000-07-02,66494.296875,30878.54296875,9565.2861328125,143851.234375,0.006262233946472406
2000-07-03,61606.40625,25990.65625,4730.43115234375,76784.7265625,0.006262233946472406
2000-07-04,61592.73828125,25976.986328125,3333.388427734375,54119.828125,0.006262233946472406
2000-07-05,61568.96875,25953.21875,2037.1064453125,33086.578125,0.006262233946472406
2000-07-06,61568.96875,25953.21875,1469.5941162109375,23869.072265625,0.006262233946472406
2000-07-07,61568.96875,25953.21875,1095.4578857421875,17792.369140625,0.006262233946472406
2000-07-08,61568.96875,25953.21875,839.3760375976562,13633.1015625,0.006262233946472406
2000-07-09,61568.96875,25953.21875,657.4265747070312,10677.888671875,0.006262233946472406
2000-07-10,61568.96875,25953.21875,523.6031494140625,8504.3349609375,0.006262233946472406
2000-07-11,61568.96875,25953.21875,422.1922607421875,6857.224609375,0.006262233946472406
2000-07-12,61568.96875,25953.21875,343.4512023925781,5578.31640625,0.006262233946472406
2000-07-13,61568.96875,25953.21875,281.1476745605469,4566.3857421875,0.006262233946472406
2000-07-14,61568.96875,25953.21875,231.150634765625,3754.336669921875,0.006262233946472406
2000-07-15,61568.96875,25953.21875,190.616943359375,3095.990478515625,0.006262233946472406
2000-07-16,61568.96875,25953.21875,157.51571655273438,2558.362060546875,0.006262233946472406
2000-07-17,61570.203125,25954.451171875,189.82040405273438,3082.991455078125,0.006262233946472406
2000-07-18,93933.3984375,58317.64453125,29542.96484375,314509.71875,0.00840722769498825
2000-07-19,77292.5390625,41676.78515625,19954.8671875,258173.28125,0.008380211889743805
2000-07-20,61568.96875,25953.21875,5500.162109375,89333.34375,0.008380211889743805
2000-07-21,61568.96875,25953.21875,3436.3037109375,55812.265625,0.008380211889743805
2000-07-22,61568.96875,25953.21875,2217.80126953125,36021.4140625,0.008380211889743805
2000-07-23,61568.96875,25953.21875,1484.32080078125,24108.26171875,0.008380211889743805
2000-07-24,61568.96875,25953.21875,1031.6805419921875,16756.501953125,0.008380211889743805
2000-07-25,61568.96875,25953.21875,743.7344360351562,12079.6962890625,0.008380211889743805
2000-07-26,61568.96875,25953.21875,554.0464477539062,8998.7939453125,0.008380211889743805
2000-07-27,61568.96875,25953.21875,424.31317138671875,6891.67236328125,0.008380211889743805
2000-07-28,61568.96875,25953.21875,332.20465087890625,5395.65087890625,0.008380211889743805
2000-07-29,63439.171875,27823.419921875,4949.88427734375,78025.6796875,0.008044690825045109
2000-07-30,61568.96875,25953.21875,1476.623046875,23983.234375,0.008044690825045109
2000-07-31,61592.73828125,25976.986328125,1456.342529296875,23644.712890625,0.008044690825045109
2000-08-01,38272.6328125,25953.21875,655.403076171875,17124.587890625,0.008044690825045109
2000-08-02,38272.6328125,25953.21875,421.82135009765625,11021.4873046875,0.008044690825045109
2000-08-03,38272.6328125,25953.21875,281.46368408203125,7354.17578125,0.008044690825045109
2000-08-04,38272.6328125,25953.21875,195.03878784179688,5096.03759765625,0.008044690825045109
2000-08-05,38272.6328125,25953.21875,140.20465087890625,3663.313232421875,0.008044690825045109
2000-08-06,38272.6328125,25953.21875,104.188232421875,2722.264404296875,0.008044690825045109
2000-08-07,38315.296875,25995.8828125,1020.8082275390625,26642.314453125,0.008044690825045109
2000-08-08,145948.828125,133629.40625,125429.640625,859408.375,0.01189130637794733
2000-08-09,50713.00390625,38393.58984375,39192.65234375,772832.375,0.008852094411849976
2000-08-10,38272.6328125,25953.21875,18118.912109375,473416.90625,0.008852094411849976
2000-08-11,38272.6328125,25953.21875,11108.3447265625,290242.5,0.008852094411849976
2000-08-12,38272.6328125,25953.21875,7011.3212890625,183194.109375,0.008852094411849976
2000-08-13,38272.6328125,25953.21875,4578.3017578125,119623.375,0.008852094411849976
2000-08-14,38272.6328125,25953.21875,3102.572021484375,81065.0234375,0.008852094411849976
2000-08-15,38272.6328125,25953.21875,2183.22705078125,57044.07421875,0.008852094411849976
2000-08-16,38272.6328125,25953.21875,1591.847900390625,41592.328125,0.008852094411849976
2000-08-17,38272.6328125,25953.21875,1197.475341796875,31288.03125,0.008852094411849976
2000-08-18,160793.578125,148474.15625,136706.25,850197.25,0.012526853010058403
2000-08-19,38280.70703125,25961.29296875,26312.0234375,687344.1875,0.012526853010058403
2000-08-20,75616.09375,63296.6796875,53558.53125,708295.375,0.009433109313249588
2000-08-21,38272.6328125,25953.21875,18142.880859375,474043.15625,0.009433109313249588
2000-08-22,38272.6328125,25953.21875,11383.275390625,297425.96875,0.009433109313249588
2000-08-23,47800.16015625,35480.74609375,17083.072265625,357385.25,0.009179681539535522
2000-08-24,1052123.125,1039803.75,1557476.125,1480317.25,0.015606733970344067
2000-08-25,38276.43359375,25957.017578125,328140.28125,8572906.0,0.015606733970344067
2000-08-26,38272.6328125,25953.21875,197319.65625,5155633.0,0.015606733970344067
2000-08-27,38272.6328125,25953.21875,121656.578125,3178683.25,0.015606733970344067
2000-08-28,38272.6328125,25953.21875,77306.953125,2019901.5,0.015606733970344067
2000-08-29,38272.6328125,25953.21875,50864.84375,1329013.375,0.015606733970344067
2000-08-30,38272.6328125,25953.21875,34744.08203125,907804.8125,0.015606733970344067
2000-08-31,38272.6328125,25953.21875,24637.78515625,643744.1875,0.015606733970344067
2000-09-01,25953.21875,25953.21875,18089.302734375,696996.5,0.015606733970344067
2000-09-02,25953.21875,25953.21875,13687.8828125,527406.0,0.015606733970344067
2000-09-03,25953.21875,25953.21875,10615.6484375,409030.125,0.015606733970344067
2000-09-04,25953.21875,25953.21875,8392.1533203125,323356.9375,0.015606733970344067
2000-09-05,25953.21875,25953.21875,6730.10498046875,259316.78125,0.015606733970344067
2000-09-06,25953.21875,25953.21875,5453.697265625,210135.6875,0.015606733970344067
2000-09-07,25953.21875,25953.21875,4452.21337890625,171547.640625,0.015606733970344067
2000-09-08,25953.21875,25953.21875,3653.5400390625,140774.0625,0.015606733970344067
2000-09-09,25953.21875,25953.21875,3008.93896484375,115937.0234375,0.015606733970344067
2000-09-10,25953.21875,25953.21875,2484.204833984375,95718.5625,0.015606733970344067
2000-09-11,25953.21875,25953.21875,2054.455810546875,79159.9609375,0.015606733970344067
2000-09-12,32448.421875,32448.421875,12451.86328125,383743.25,0.015945592895150185
2000-09-13,25953.21875,25953.21875,4505.26953125,173591.9375,0.015945592895150185
2000-09-14,25953.21875,25953.21875,2968.452880859375,114377.0625,0.015945592895150185
2000-09-15,25953.21875,25953.21875,2030.605712890625,78241.0,0.015945592895150185
