,TotalFlow(m3),TotalRunoff(m3),TotalMass(kg),TotalConc(ug/L),BenthicConc(ug/L)
2000-01-01,319.36688232421875,319.36688232421875,0.0,0.0,0.0
2000-01-02,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-03,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-04,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-05,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-06,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-07,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-08,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-09,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-10,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-11,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-12,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-13,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-14,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-15,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-16,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-17,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-18,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-19,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-20,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-21,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-22,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-23,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-24,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-25,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-26,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-27,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-28,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-29,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-30,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-01-31,1678.135986328125,1678.135986328125,0.0,0.0,0.0
2000-02-01,157730.21875,1678.135986328125,0.0,0.0,0.0
2000-02-02,157730.21875,1678.135986328125,0.0,0.0,0.0
2000-02-03,157730.21875,1678.135986328125,0.0,0.0,0.0
2000-02-04,157730.21875,1678.135986328125,0.0,0.0,0.0
2000-02-05,157730.21875,1678.135986328125,0.0,0.0,0.0
2000-02-06,157730.21875,1678.135986328125,0.0,0.0,0.0
2000-02-07,158944.234375,2892.140625,420.4156188964844,2645.05126953125,0.0
2000-02-08,157730.21875,1678.135986328125,0.04018973186612129,0.2548004388809204,0.0
2000-02-09,157730.21875,1678.135986328125,0.03688591718673706,0.2338544726371765,0.0
