,TotalFlow(m3),TotalRunoff(m3),TotalMass(kg),TotalConc(ug/L),BenthicConc(ug/L)
2000-01-01,9724.8271484375,9724.8271484375,0.0,0.0,0.0
2000-01-02,9724.8271484375,9724.8271484375,0.0,0.0,0.0
2000-01-03,9724.8271484375,9724.8271484375,0.0,0.0,0.0
2000-01-04,9724.8271484375,9724.8271484375,0.0,0.0,0.0
2000-01-05,9724.8271484375,9724.8271484375,0.0,0.0,0.0
2000-01-06,9724.8271484375,9724.8271484375,0.0,0.0,0.0
2000-01-07,9724.8271484375,9724.8271484375,0.0,0.0,0.0
2000-01-08,9724.8271484375,9724.8271484375,0.0,0.0,0.0
2000-01-09,9724.8271484375,9724.8271484375,0.0,0.0,0.0
2000-01-10,9724.8701171875,9724.8701171875,27.225261688232422,2799.550048828125,0.0
2000-01-11,9724.8271484375,9724.8271484375,26.906953811645508,2766.8310546875,0.0
2000-01-12,9724.8271484375,9724.8271484375,26.595762252807617,2734.831298828125,0.0
2000-01-13,9724.8271484375,9724.8271484375,26.288169860839844,2703.20166015625,0.0
2000-01-14,9724.8271484375,9724.8271484375,25.984134674072266,2671.93798828125,0.0
2000-01-15,9724.8271484375,9724.8271484375,25.68361473083496,2641.03564453125,0.0
2000-01-16,9724.8271484375,9724.8271484375,25.386571884155273,2610.49072265625,0.0
2000-01-17,9724.8271484375,9724.8271484375,25.09296417236328,2580.29931640625,0.0
2000-01-18,9724.8271484375,9724.8271484375,24.802751541137695,2550.456787109375,0.0
2000-01-19,9724.8271484375,9724.8271484375,24.51589584350586,2520.95947265625,0.0
2000-01-20,9724.8271484375,9724.8271484375,24.232357025146484,2491.803466796875,0.0
2000-01-21,9724.8271484375,9724.8271484375,23.952098846435547,2462.984619140625,0.0
2000-01-22,9724.8271484375,9724.8271484375,23.675081253051758,2434.4990234375,0.0
2000-01-23,9724.8271484375,9724.8271484375,23.401268005371094,2406.3427734375,0.0
2000-01-24,9724.8271484375,9724.8271484375,23.1306209564209,2378.51220703125,0.0
2000-01-25,9724.8271484375,9724.8271484375,22.86310386657715,2351.003662109375,0.0
2000-01-26,9724.8271484375,9724.8271484375,22.59868049621582,2323.81298828125,0.0
2000-01-27,9724.8271484375,9724.8271484375,22.337316513061523,2296.93701171875,0.0
2000-01-28,9724.8271484375,9724.8271484375,22.0789737701416,2270.371826171875,0.0
2000-01-29,9724.8271484375,9724.8271484375,21.823619842529297,2244.114013671875,0.0
2000-01-30,9724.8271484375,9724.8271484375,21.57122039794922,2218.15966796875,0.0
2000-01-31,9724.8271484375,9724.8271484375,21.32173728942871,2192.505615234375,0.0
2000-02-01,9724.8271484375,9724.8271484375,21.07514190673828,2167.148193359375,0.0
2000-02-02,9724.8271484375,9724.8271484375,20.831398010253906,2142.084228515625,0.0
2000-02-03,9724.8271484375,9724.8271484375,20.590473175048828,2117.31005859375,0.0
2000-02-04,9724.8271484375,9724.8271484375,20.352333068847656,2092.822021484375,0.0
2000-02-05,9724.8271484375,9724.8271484375,20.1169490814209,2068.61767578125,0.0
2000-02-06,9724.8271484375,9724.8271484375,19.884286880493164,2044.693115234375,0.0
2000-02-07,9724.8271484375,9724.8271484375,19.654315948486328,2021.0452880859375,0.0
2000-02-08,9724.8271484375,9724.8271484375,19.427003860473633,1997.6708984375,0.0
2000-02-09,9724.8271484375,9724.8271484375,19.202322006225586,1974.56689453125,0.0
2000-02-10,9724.8271484375,9724.8271484375,18.98023796081543,1951.7301025390625,0.0
2000-02-11,9724.8271484375,9724.8271484375,18.76072120666504,1929.1573486328125,0.0
2000-02-12,9724.8271484375,9724.8271484375,18.543745040893555,1906.845703125,0.0
2000-02-13,9724.8271484375,9724.8271484375,18.32927703857422,1884.7921142578125,0.0
2000-02-14,9724.8271484375,9724.8271484375,18.117290496826172,1862.9935302734375,0.0
2000-02-15,9724.8271484375,9724.8271484375,17.90775489807129,1841.4471435546875,0.0
2000-02-16,9724.8271484375,9724.8271484375,17.70064353942871,1820.14990234375,0.0
2000-02-17,9724.8271484375,9724.8271484375,17.495927810668945,1799.09912109375,0.0
2000-02-18,10158.841796875,10158.841796875,2435.00439453125,239693.109375,0.0
2000-02-19,9724.8271484375,9724.8271484375,1326.4742431640625,136400.796875,0.0
2000-02-20,9724.8271484375,9724.8271484375,1311.1329345703125,134823.265625,0.0
2000-02-21,9724.8271484375,9724.8271484375,1295.9691162109375,133263.96875,0.0
2000-02-22,9724.8271484375,9724.8271484375,1280.9805908203125,131722.703125,0.0
2000-02-23,9724.8271484375,9724.8271484375,1266.1654052734375,130199.2734375,0.0
2000-02-24,9724.8271484375,9724.8271484375,1251.5216064453125,128693.453125,0.0
2000-02-25,9724.8271484375,9724.8271484375,1237.047119140625,127205.046875,0.0
2000-02-26,9862.1142578125,9862.1142578125,1977.9925537109375,200564.75,0.0
2000-02-27,9724.8271484375,9724.8271484375,1772.656982421875,182281.59375,0.0
2000-02-28,9724.8271484375,9724.8271484375,1752.1552734375,180173.40625,0.0
2000-02-29,9724.8271484375,9724.8271484375,1731.8907470703125,178089.625,0.0
2000-03-01,20486.087890625,9727.009765625,1761.5838623046875,85989.2734375,0.0
2000-03-02,20483.90625,9724.8271484375,1740.92333984375,84989.8125,0.0
2000-03-03,20483.90625,9724.8271484375,1720.7886962890625,84006.8671875,0.0
2000-03-04,20483.90625,9724.8271484375,1700.886962890625,83035.2890625,0.0
2000-03-05,20483.90625,9724.8271484375,1681.21533203125,82074.9375,0.0
2000-03-06,20483.90625,9724.8271484375,1661.7713623046875,81125.7109375,0.0
2000-03-07,20483.90625,9724.8271484375,1642.5521240234375,80187.4453125,0.0
2000-03-08,20483.90625,9724.8271484375,1623.55517578125,79260.0390625,0.0
2000-03-09,20483.90625,9724.8271484375,1604.778076171875,78343.3671875,0.0
2000-03-10,20483.90625,9724.8271484375,1586.218017578125,77437.28125,0.0
2000-03-11,20483.90625,9724.8271484375,1567.8726806640625,76541.6875,0.0
2000-03-12,20483.90625,9724.8271484375,1549.7393798828125,75656.4375,0.0
2000-03-13,20483.90625,9724.8271484375,1531.81591796875,74781.4375,0.0
2000-03-14,20483.90625,9724.8271484375,1514.0997314453125,73916.5546875,0.0
2000-03-15,20483.90625,9724.8271484375,1496.5885009765625,73061.6796875,0.0
2000-03-16,20486.951171875,9727.873046875,1536.9510498046875,75020.9765625,0.0
2000-03-17,20483.90625,9724.8271484375,1518.7574462890625,74143.9375,0.0
2000-03-18,20483.90625,9724.8271484375,1501.1922607421875,73286.4296875,0.0
2000-03-19,20483.90625,9724.8271484375,1485.1461181640625,72503.0703125,0.0
2000-03-20,20483.90625,9724.8271484375,1471.0577392578125,71815.296875,0.0
2000-03-21,20483.90625,9724.8271484375,1454.044189453125,70984.7109375,0.0
2000-03-22,20483.90625,9724.8271484375,1437.2275390625,70163.7421875,0.0
2000-03-23,20483.90625,9724.8271484375,1420.605224609375,69352.265625,0.0
2000-03-24,20483.90625,9724.8271484375,1404.17529296875,68550.171875,0.0
2000-03-25,20483.90625,9724.8271484375,1387.935302734375,67757.359375,0.0
2000-03-26,20483.90625,9724.8271484375,1371.8831787109375,66973.7109375,0.0
2000-03-27,20740.83203125,9981.75390625,2714.939208984375,130898.2734375,0.0
2000-03-28,20483.90625,9724.8271484375,2212.02783203125,107988.578125,0.0
2000-03-29,20483.90625,9724.8271484375,2186.44482421875,106739.6484375,0.0
2000-03-30,20483.90625,9724.8271484375,2161.157470703125,105505.1484375,0.0
2000-03-31,20483.90625,9724.8271484375,2136.16259765625,104284.9296875,0.0
2000-04-01,34771.93359375,9724.8271484375,2111.45703125,60723.02734375,0.0
2000-04-02,34771.93359375,9724.8271484375,2087.036865234375,60020.73046875,0.0
2000-04-03,34771.93359375,9724.8271484375,2062.8994140625,59326.56640625,0.0
2000-04-04,34771.93359375,9724.8271484375,2039.0408935546875,58640.42578125,0.0
2000-04-05,34771.93359375,9724.8271484375,2015.4583740234375,57962.21875,0.0
2000-04-06,34771.93359375,9724.8271484375,1992.148681640625,57291.859375,0.0
2000-04-07,34771.93359375,9724.8271484375,1969.1085205078125,56629.25,0.0
2000-04-08,34771.93359375,9724.8271484375,1946.3348388671875,55974.30859375,0.0
2000-04-09,34771.93359375,9724.8271484375,1923.824462890625,55326.93359375,0.0
2000-04-10,34771.93359375,9724.8271484375,1901.5745849609375,54687.0546875,0.0
2000-04-11,34771.93359375,9724.8271484375,1879.5819091796875,54054.5703125,0.0
2000-04-12,34771.93359375,9724.8271484375,1857.8436279296875,53429.40234375,0.0
2000-04-13,34771.93359375,9724.8271484375,1836.3568115234375,52811.46875,0.0
2000-04-14,34771.93359375,9724.8271484375,1815.118408203125,52200.67578125,0.0
2000-04-15,34771.93359375,9724.8271484375,1794.125732421875,51596.953125,0.0
2000-04-16,34771.93359375,9724.8271484375,1773.3758544921875,51000.2109375,0.0
2000-04-17,34774.67578125,9727.5703125,1807.1219482421875,51966.609375,0.0
2000-04-18,34771.93359375,9724.8271484375,1785.850341796875,51358.9609375,0.0
2000-04-19,34771.93359375,9724.8271484375,1765.1961669921875,50764.97265625,0.0
