MASTER_OID,VolumeCorr,BasinID,BID,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,XC01,XC02,XC03,XC04,XC05,XC06,XC07,XC08,XC09,XC10,XC11,XC12
2356,277207.89,2490705-4,2490705,6654.685496,35940.19483,7320.154046,5612.444312,4858.899042,2691.233105,1604.953561,1037.348033,753.5452694,653.2356719,3787.298951,6231.427926,0.2958846,0.588358488,0.306366672,0.278425656,0.264834624,0.21883116,0.188866272,0.169243248,0.157496256,0.152860248,0.243663216,0.288962592,1969.018956,21145.71869,2242.651233,1562.648489,1286.804701,588.9256622,303.1215958,175.5641504,118.6805587,99.8537668,922.8254425,1800.649565
1805,57066.37,5225060-4,5225060,5272.37031,5431.397721,13458.6121,12820.05588,9659.080271,6967.847166,5607.551161,3068.00574,7386.211585,11890.35717,12692.83395,8736.721289,0.257309112,0.259906008,0.362614464,0.355768656,0.31923228,0.283369512,0.262740648,0.216502488,0.289325304,0.345512136,0.354387912,0.3075432,1356.628923,1411.6529,4880.287413,4560.974051,3083.490218,1974.475451,1473.331626,664.2308758,2137.017912,4108.262705,4498.186922,2686.919223
1816,181511.49,5227746-4,5227746,5539.047045,31257.44923,6133.564904,4643.600394,4044.189384,2250.849506,1352.956279,875.8740469,636.109643,538.246621,3219.693424,5211.205922,0.293357808,0.593680296,0.304446432,0.275536152,0.26269188,0.217584528,0.188311536,0.168868344,0.157173168,0.151808688,0.243455952,0.287002728,1624.9227,18556.93171,1867.34195,1279.479784,1062.375712,489.7500274,254.7772751,147.9073999,99.97936779,81.71051335,783.8535276,1495.630316
2417,181511.49,5105160-4,5105160,2458.808428,2434.342672,2708.359134,2135.860455,1827.591936,998.2028244,592.0712831,381.6657858,278.9096127,293.589066,1465.498754,2316.907046,0.270759936,0.2698242,0.280071576,0.258025392,0.24499824,0.203521056,0.176991264,0.15973044,0.149647656,0.151183848,0.228292152,0.26526744,665.7468125,656.8445641,758.534411,551.1062312,447.7568077,203.1552929,104.7914448,60.9636439,41.73816978,44.38592473,334.5618644,614.6000008
1803,141461.93,5224891-4,5224891,9852.35974,53707.22647,17598.21793,12457.9627,10055.42551,5773.918298,3652.737296,2167.665937,2475.934457,12335.63392,15499.05611,12479.98188,0.23701248,0.445931544,0.288602928,0.255989328,0.238570008,0.201683112,0.178439064,0.158005272,0.162687,0.255145032,0.275911056,0.256141728,2335.132216,23949.74643,5078.897223,3189.1055,2398.922944,1164.501811,651.7910242,342.502646,402.8023489,3147.375712,4276.360938,3196.644124
2390,25753.21,3124461-4,3124461,704.6137584,814.7096582,1771.320698,1316.257646,976.1836445,548.0329232,335.1808504,212.8520729,166.3671374,92.9698709,731.5260895,1071.600091,0.126528576,0.129134616,0.147072096,0.139330176,0.132676392,0.122465592,0.115924584,0.111224568,0.109112304,0.10509504,0.127180848,0.134639304,89.15377548,105.2072189,260.5118478,183.3944095,129.5165239,67.11517638,38.85570064,23.67437985,18.15270167,9.770672301,93.03610839,144.2794904
2394,3927.78,3126600-4,3126600,7190.485541,3554.874274,13231.08057,45944.24225,37094.97849,30124.68475,16807.97403,12213.30515,24103.66232,33371.2905,34369.49333,14500.85328,0.20447508,0.169999152,0.24672036,0.389787384,0.358024176,0.330397104,0.267413232,0.24036528,0.303998376,0.34360104,0.347539056,0.254334264,1470.275106,604.3256121,3264.376963,17908.486,13280.89911,9953.108599,4494.674658,2935.654511,7327.474201,11466.41012,11944.74127,3688.063848
1871,151268.62,5320883-4,5320883,3107.150949,4173.857888,6263.233408,5069.30454,3765.279771,2214.150873,1409.227517,905.2329535,604.3041609,401.2383902,2424.55637,4232.575702,0.276191472,0.307104288,0.358356408,0.330275184,0.295759632,0.246190008,0.21372576,0.188649864,0.170371008,0.155444952,0.253706376,0.308692296,858.1685942,1281.809655,2244.469827,1674.26549,1113.61776,545.1018211,301.188222,170.7720736,102.955909,62.37048231,615.1254101,1306.563511
2344,8923.98,1922173-4,1922173,6801.480029,3398.293439,15535.75474,45775.42854,28717.90381,22232.03202,12599.86408,8063.913013,17028.16583,26007.0981,27981.48457,13864.74364,0.215045544,0.177738024,0.281687016,0.427149768,0.354089208,0.321033648,0.261932928,0.226499928,0.291056568,0.34075116,0.350526096,0.270683736,1462.627973,604.0059608,4376.220395,19552.96368,10168.69981,7137.230343,3300.319292,1826.475717,4956.159505,8861.948845,9808.240545,3752.960608
1889,3522.63,8994654-6,8994654,1750236.11,2945904.49,4006565.95,3181492.59,2155733.988,1355383.282,838588.2355,616681.3866,445166.6542,410075.4211,913918.2967,2421696.323,0.29798772,0.362952792,0.410660088,0.374169432,0.321856608,0.272091912,0.23201376,0.211229448,0.192600072,0.188393832,0.238463328,0.336374232,521548.8679,1069224.26,1645336.72,1190417.28,693837.2292,368788.8287,194564.0096,130261.2689,85739.12965,77255.67999,217935.9986,814596.24
